email,name,attributes
user_0001@mail.com,"User","{ ""isTemp"": true }"
user_0002@mail.com,"User","{ ""isTemp"": true }"
user_0003@mail.com,"User","{ ""isTemp"": true }"
user_0004@mail.com,"User","{ ""isTemp"": true }"
user_0005@mail.com,"User","{ ""isTemp"": true }"
user_0006@mail.com,"User","{ ""isTemp"": true }"
user_0007@mail.com,"User","{ ""isTemp"": true }"
user_0008@mail.com,"User","{ ""isTemp"": true }"
user_0009@mail.com,"User","{ ""isTemp"": true }"
user_0010@mail.com,"User","{ ""isTemp"": true }"
user_0011@mail.com,"User","{ ""isTemp"": true }"
user_0012@mail.com,"User","{ ""isTemp"": true }"
user_0013@mail.com,"User","{ ""isTemp"": true }"
user_0014@mail.com,"User","{ ""isTemp"": true }"
user_0015@mail.com,"User","{ ""isTemp"": true }"
user_0016@mail.com,"User","{ ""isTemp"": true }"
user_0017@mail.com,"User","{ ""isTemp"": true }"
user_0018@mail.com,"User","{ ""isTemp"": true }"
user_0019@mail.com,"User","{ ""isTemp"": true }"
user_0020@mail.com,"User","{ ""isTemp"": true }"
user_0021@mail.com,"User","{ ""isTemp"": true }"
user_0022@mail.com,"User","{ ""isTemp"": true }"
user_0023@mail.com,"User","{ ""isTemp"": true }"
user_0024@mail.com,"User","{ ""isTemp"": true }"
user_0025@mail.com,"User","{ ""isTemp"": true }"
user_0026@mail.com,"User","{ ""isTemp"": true }"
user_0027@mail.com,"User","{ ""isTemp"": true }"
user_0028@mail.com,"User","{ ""isTemp"": true }"
user_0029@mail.com,"User","{ ""isTemp"": true }"
user_0030@mail.com,"User","{ ""isTemp"": true }"
user_0031@mail.com,"User","{ ""isTemp"": true }"
user_0032@mail.com,"User","{ ""isTemp"": true }"
user_0033@mail.com,"User","{ ""isTemp"": true }"
user_0034@mail.com,"User","{ ""isTemp"": true }"
user_0035@mail.com,"User","{ ""isTemp"": true }"
user_0036@mail.com,"User","{ ""isTemp"": true }"
user_0037@mail.com,"User","{ ""isTemp"": true }"
user_0038@mail.com,"User","{ ""isTemp"": true }"
user_0039@mail.com,"User","{ ""isTemp"": true }"
user_0040@mail.com,"User","{ ""isTemp"": true }"
user_0041@mail.com,"User","{ ""isTemp"": true }"
user_0042@mail.com,"User","{ ""isTemp"": true }"
user_0043@mail.com,"User","{ ""isTemp"": true }"
user_0044@mail.com,"User","{ ""isTemp"": true }"
user_0045@mail.com,"User","{ ""isTemp"": true }"
user_0046@mail.com,"User","{ ""isTemp"": true }"
user_0047@mail.com,"User","{ ""isTemp"": true }"
user_0048@mail.com,"User","{ ""isTemp"": true }"
user_0049@mail.com,"User","{ ""isTemp"": true }"
user_0050@mail.com,"User","{ ""isTemp"": true }"
user_0051@mail.com,"User","{ ""isTemp"": true }"
user_0052@mail.com,"User","{ ""isTemp"": true }"
user_0053@mail.com,"User","{ ""isTemp"": true }"
user_0054@mail.com,"User","{ ""isTemp"": true }"
user_0055@mail.com,"User","{ ""isTemp"": true }"
user_0056@mail.com,"User","{ ""isTemp"": true }"
user_0057@mail.com,"User","{ ""isTemp"": true }"
user_0058@mail.com,"User","{ ""isTemp"": true }"
user_0059@mail.com,"User","{ ""isTemp"": true }"
user_0060@mail.com,"User","{ ""isTemp"": true }"
user_0061@mail.com,"User","{ ""isTemp"": true }"
